key,jp,vi
Text/4a/text,これは…確かコンちゃんでしたよね。コニアルさんの姿を模して作られた…オナホール,Cái này... hình như là Kon-chan đúng không ạ. Một cái onahole được làm theo hình dáng của cô Konial...
Text/4b/text,確かに…これはあの時のものより、何だか特別な感じがします,Quả thực... cái này có cảm giác hơi đặc biệt so với thứ hồi đó...
Text/4c/text,どうやら、最後に用意すべきものは…この人形だったみたいですね,Có vẻ như cái búp bê này là thứ cuối cùng chúng ta cần chuẩn bị.
Text/4d/text,では、準備ができたら機関室へ向かいましょう,"Vậy thì, khi nào sẵn sàng thì mình đến Phòng Máy nhé."
Text/4e/text,これで機関室への道が分かりましたね,Vậy là chúng ta đã biết đường đến phòng máy rồi nhỉ.
Text/4f/text,でも…何だか釈然としない部分が多いんです,Nhưng mà... em vẫn thấy có nhiều chỗ không ổn lắm ạ.
Text/50/text,本当に…このまま電車を離れてしまっていいんでしょうか？,Thực sự... chúng ta cứ thế rời khỏi tàu được sao ạ?
Text/51/text,何かご用でしょうか？,Có việc gì cần ạ?
Choice/53/text,"엣찌 하고싶어 | [if {npc.love} >= 1] [else=""hide""]",Muốn làm tình
Text/54/text,あ…はい。お望みのままに…よろしくお願いしますね。,À... vâng. Anh cứ tự nhiên... em xin nhờ anh nhé.
Choice/55/text,[if {GameEvents.is_new_read_event(0)} 대화(New)/대화] | [if {npc.love} >= 0],[if {GameEvents.is_new_read_event(0)} Nói chuyện(New)/Nói chuyện]
Choice/56/text,"탐색 동행 | [if {npc.current_partner} != {npc.type}] [else=""hide""]",Thám hiểm cùng nhau
Text/57/text,<알겠습니다. 어서 출발하도록 하죠/네,맡겨 주세요./네,꼼꼼하게 살펴 보도록 할게요.>,<Vâng ạ. Đi ngay thôi/Em lo liệu được ạ./Dạ,em sẽ xem xét kỹ lưỡng ạ.>
Choice/58/text,用はない,Không có việc gì.
Text/5a/text,それ！コンちゃんだよね？最初に乗車記念品だって貰ったやつ,Cái đó nè! Là Kon-chan đúng hong? Thứ họ tặng làm quà lưu niệm lúc lên tàu ấy mà.
Text/5b/text,コニアルが餞別にくれたのって…うーん…よく見ると最初のとちょっと違うような気もするし…,Cái Konial cho làm quà tạm biệt ấy... ừm... nhìn kỹ thì có vẻ hơi khác cái đầu tiên nhỉ~
Text/5c/text,ってことは、これで完璧に出発準備完了ってこと？あたしはいつでもオッケーだし！,Ừm nghĩa là giờ mình đã hoàn toàn sẵn sàng lên đường rồi hả? Tớ đi lúc nào cũng được!
Text/5d/text,よっしゃ！やっと家に帰れるじゃん！,Cuối cùng cũng về nhà được rồi nà!
Text/5e/text,…って、喜びたいとこなんだけど…ホントにこれでよかったのかな？,...Tớ cũng muốn vui lắm á... nhưng hong biết thế này có ổn không nhỉ?
Text/5f/text,さっきコニアルと何か話してたじゃん、なんか大事なこと？,Lúc nãy cậu nói chuyện với Konial có chuyện gì quan trọng á?
Text/60/text,まあ、どうするかはあんたに任せるよ！,"Thôi, quyết định thế nào tùy cậu nha~!"
Text/61/text,ん？どしたの？,Hử? Sao thế~?
Choice/63/text,"엣찌 하고싶어 | [if {npc.love} >= 1] [else=""hide""]",Muốn làm tình
Text/64/text,溜まってる…ってやつ？しょうがないなー…いいよ！,Đây là... nhịn lâu ngày hả? Hết cách với cậu thật á... được rồi nà!
Choice/65/text,[if {GameEvents.is_new_read_event(1)} 대화(New)/대화] | [if {npc.love} >= 0],[if {GameEvents.is_new_read_event(1)} Nói chuyện(New)/Nói chuyện]
Choice/66/text,"탐색 동행 | [if {npc.current_partner} != {npc.type}] [else=""hide""]",Thám hiểm cùng nhau
Text/67/text,<그래~ 도움이 될지 모르겠지만. 노력해볼게./응 좋아~ 출발하자./이번엔 더 멀리 갈 수 있겠지? 어서 가자!>,<Hì~ Không biết có giúp được gì hong. Nhưng tớ sẽ cố gắng./Ừ ngon~ Đi thôi~/Lần này đi xa hơn được nhỉ? Nhanh lên nào!>
Choice/68/text,用はない,Không có việc gì.
Text/6b/text,이.. 이건..! 어디서 이걸 가져오신 겁니까?,C-cái này...! Ngài đã mang thứ này từ đâu đến vậy ạ?
Text/6c/text,코니알 님에게서요? ..아아. 그렇군요. ..코니알 님이 직접.,Từ ngài Konial ạ? ...À à. Ra là thế. ...Chính tay ngài Konial...
Text/6d/text,코니알님의 뜻이 그렇다면.. 잘 알겠습니다.,Nếu đó là ý của ngài Konial... thì kẻ hèn này đã hiểu rõ rồi ạ.
Text/6e/text,저 말입니까? ..저는.. 전차에서 떠나지 않을 예정입니다.,Kẻ hèn này sao ạ? ...Em... em dự định sẽ không rời khỏi chuyến tàu này.
Text/6f/text,"이 전차가 아니면 달리 갈 곳도 없을 뿐더러, 이 상황을 만든 데는 제 잘못도 있으니까요.","Ngoài chuyến tàu này em cũng chẳng có nơi nào để đi, hơn nữa em cũng có một phần lỗi trong việc tạo ra tình cảnh này..."
Text/70/text,"저를 거두어주신 코니알 님을 끝까지 따라갈 테니, 저는 걱정하지 마십시오.","Em sẽ đi theo ngài Konial đến cùng, người đã cưu mang em, nên xin quý nhân đừng lo lắng cho em ạ."
Text/71/text,짧게나마 함께해서 즐거웠습니다.,"Dù chỉ là khoảng thời gian ngắn ngủi, em rất vui khi được đồng hành cùng quý nhân."
Text/72/text,코니알 님.. 어째서.,Ngài Konial... tại sao chứ.
Text/73/text,파주주.. 저 분한테서 엄청난 신성력이 느껴집니다.,Pazuzu... em cảm nhận được một luồng thần lực cực kỳ mạnh mẽ từ vị đó ạ.
Text/74/text,어떻게 된 상황인지 모르겠지만.. 여러분들을 믿겠습니다.,Tuy em không rõ tình hình hiện tại ra sao... nhưng em sẽ tin tưởng các quý nhân.
Text/75/text,찾으시는 분이 무사하시길 빌겠습니다.,Em cầu mong người quý nhân đang tìm kiếm được bình an vô sự.
Text/76/text,당신도.. 다치지 말아 주세요.,Quý nhân cũng... xin đừng để bị thương ạ.
Text/77/text,お疲れ様でございます。何かご入用でしょうか？,Xin kính chào quý nhân. Ngài có cần gì không ạ?
Choice/79/text,"파주주가 갇힌 위치를 찾고 싶어 | [if {MetaProgression.get_current_chapter() == 5} && {MetaProgression.has_read_event(""chapter5_start"")} == false] [else=""hide""]",Muốn tìm vị trí Pazuzu bị nhốt
Text/7a/text,それは…いくら皆様のご希望でも、お答えできかねます…,"Chuyện đó... dù là yêu cầu của các quý nhân, em cũng khó lòng trả lời được..."
Text/7b/text,どうやら執事ともっと仲良くならないといけないみたいだ。,Hình như tôi cần thân với quản gia hơn nữa thì mới được.
Choice/7c/text,"티켓 교환 | [if {MetaProgression.get_game_clear_count()} >= 1] [else=""hide"" alt_text=""선택 불가""]",Đổi vé
Choice/7d/text,"탐지한 이변의 수를 알고 싶어 | [if {MetaProgression.has_read_event(""chapter4_butler"")} == true] [else=""hide""]",Muốn biết số dị biến đã phát hiện
Text/7e/text,現在までに探知した異変の数は{MetaProgression.get_routes_dict().size()}個でございます,Số lượng dị biến phát hiện được tính đến nay là {MetaProgression.get_routes_dict().size()} dị biến ạ.
Choice/7f/text,用はない,Không có việc gì
Text/81/text,うっ…ぐぅっ…おおっ…！,Ục... khự... ố...!
Text/82/text,…パズズの言った通り、自白を引き出しているところみたいだ。,"...Đúng như Pazuzu nói, có vẻ đang moi lời thú tội."
Text/83/text,ブレスレットを着けて探索を進めると、コニアルに情念が伝わるって言ってたっけ…,Cô ấy nói đeo vòng khi thám hiểm thì tình niệm sẽ truyền đến Konial nhỉ...
Choice/84/text,"파주주에 대해.. | [if {npc.love} == 1 && {MetaProgression.has_read_event(""konial_love_1"")}] [else=""hide""]",Về Pazuzu...
Choice/85/text,会話を終了,Kết thúc cuộc trò chuyện
Text/86/text,"아, 오셨군요.","A, quý nhân đã đến rồi ạ."
Text/85/text,대화를 종료하고 다음 챕터로 넘어갈까요?,#[Debug] Kết thúc hội thoại và chuyển sang chương tiếp theo?
Text/86/text,"아, 오셨군요.",#- Có
Text/87/text,새로운 모습은 좀 적응됐어?,#- Không
Text/88/text,"네, 생각보다 금방 적응했습니다. 날개나 깃털이 없어진 게 허전하지만..","Vâng, em đã thích nghi nhanh hơn em tưởng. Tuy cảm thấy hơi trống trải khi mất đi đôi cánh và bộ lông..."
Choice/87/text,新しい姿にはもう慣れた？,Đã quen với hình dạng mới chưa?
Text/88/text,"네, 생각보다 금방 적응했습니다. 날개나 깃털이 없어진 게 허전하지만..","Vâng, em đã thích nghi nhanh hơn em tưởng. Tuy cảm thấy hơi trống trải khi mất đi đôi cánh và bộ lông..."
Text/89/text,두 발로 걷는다는 느낌이 신선해서 재미있습니다.,Cảm giác đi bằng hai chân mới lạ nên cũng thú vị ạ.
Choice/8a/text,慣れるまで手伝うよ。,Tôi sẽ kèm em cho đến khi quen nhé.
Text/8b/text,감사합니다. 다만..,Cảm tạ quý nhân. Chỉ là...
Text/8c/text,요즘 들어 저를 찾아 주시는 횟수가 많아 진 거 같아서..,Dạo này em thấy hình như quý nhân tìm em nhiều hơn...
Text/8d/text,상품도 이것저것 가리지 않고 교환해 가시고.. 탐색에 나가는 횟수도 눈에 띄게 늘었습니다.,Quý nhân cũng đổi đủ thứ quà không chừa món nào... số lần ra ngoài thám hiểm cũng tăng lên đáng kể.
Text/8e/text,제가 이런 모습이 된 이후로 유독 신경 써 주시는 거 같습니다만..,"Hình như từ khi em trở nên thế này, quý nhân đặc biệt quan tâm đến em hơn thì phải..."
Choice/8f/text,僕たちを助けるために、その姿に変わっちゃったんだから。,Vì em thay đổi hình dạng để cứu tụi tôi mà.
Choice/90/text,コニアルに借りを返さないといけないからね。,Vì tôi còn nợ Konial một món.
Text/91/text,그건 여러분의 잘못이 아닙니다. 제가 조심하지 않은 탓에..,Đó không phải lỗi của các quý nhân. Tại em đã không cẩn thận...
Text/92/text,제가 좋아하는 것들에 관심을 가져 주시는 것에 어째선지 신이 나 버려서.,Không hiểu sao kẻ hèn này lại phấn khích khi quý nhân quan tâm đến mấy thứ kẻ hèn này thích quá.
Text/93/text,그만 코니알 님의 심기를 건드려 버렸습니다.,Rồi đắc tội với Konial đại nhân mất.
Choice/94/text,何かに夢中になるのは悪いことじゃないよ。,Có đam mê một thứ gì đó không phải chuyện xấu đâu.
Choice/95/text,実際、執事のおかげで僕達は色々助けられたよ。,"Hơn nữa, nhờ có quản gia mà tôi được giúp đỡ nhiều lắm."
Text/96/text,정말 친절하시군요..,Quý nhân thật tử tế quá...
Text/97/text,하지만 이대로라면.. 제가 진 빚을 갚는데만 적지 않은 시간을 낭비할 것입니다.,Nhưng nếu cứ thế này... chỉ để trả món nợ thôi mà cũng tốn không ít thời gian rồi.
Text/98/text,여러분들에겐 더 중요한 목표가 있었지 않습니까?,Chẳng phải quý vị có mục tiêu quan trọng hơn sao?
Choice/99/text,ここから脱出する方法を見つけること。,Tìm cách thoát khỏi đây.
Choice/9a/text,その前に、執事の問題を解決したいんだ。,"Trước đó, tôi muốn giải quyết chuyện của quản gia đã."
