key,ID,대사,씬,연출메모,화자
<!MissingKey:0:b5e>,b5e,언제든 제게 말해 주세요.,e_nopan,이 대사 이후 씬 종료,reina
<!MissingKey:1:bc2>,bc2,"네, 좀 더.. 하앗.. 마음껏 박아 주세요..",e_onsen,이 대사 이후 프리 액션 진입,reina
<!MissingKey:2:9bf>,9bf,헤엑..헤엑..끼잉..,e_dog_strap,(재개) 재개 첫 대사,reina
<!MissingKey:3:c75>,c75,괜찮다면 잠시 앉아서 쉬도록 할까요. 정리하는 거 도와드릴 테니.,e_panty,이 대사 이후 씬 종료 (일반 대화로 전환),reina
1080,cc8,우읍.. 입안에 가득.. 뜨겁고 진한 정액..,e_reina_fella,(재개) 재개 첫 대사 (사정 직후),reina
<!MissingKey:5:bc6>,bc6,확실하게 씻고 나서.. 개운하게 돌아가도록 하죠..,e_onsen,이 대사 이후 화면 전환 (H씬에서 빠져나온 일반 대화로 전환),reina
<!MissingKey:6:cb6>,cb6,"아, 어쩌면.. 이게 힘이 될 수도 있겠네요.",e_reina_fella,이 대사 이후 화면 전환,reina
<!MissingKey:7:cc7>,cc7,몇번이고 발기하셔도 좋아요. 그떄마다 제 입으로.. 잔뜩 빼 드릴게요.,e_reina_fella,이 대사 이후 프리 액션 진입,reina
<!MissingKey:8:cce>,cce,"전차 안이던, 바깥 어디서든지.. 당신을 절대 잊지 않을 거에요.",e_reina_fella,이 대사 이후 씬 종료,reina
<!MissingKey:9:c70>,c70,하지만 도저히 작아질 기미가 없네요. 이 자지..,e_panty,이 대사 이후 여운 상태로 전환,reina
<!MissingKey:10:d33>,d33,당신 앞이라면.. 더는 부끄럽지 않아요.,e_reina_swimsuit,이 대사 이후 씬 종료,reina
<!MissingKey:11:d3a>,d3a,네.. 그게 좋겠어요. 잠시면 되니까..,e_reverse_train,이 대사 이후 화면 전환 (자리에 앉아 쉬는 장면으로),reina
<!MissingKey:12:7b3>,7b3,..지치셨군요. 알겠습니다. 옆에 앉으세요.,e_bird,이 대사 이후 화면 전환 (나란히 앉는 장면으로),reina
<!MissingKey:13:7c4>,7c4,평소엔 일하느라 끼니를 걸러도 배고픔을 느낀 적은 없었는데.. 그만큼 긴장이 풀린 걸까요..,e_bird,이 대사 이후 화면 전환 (잠에서 깨어나는 장면으로),reina
<!MissingKey:14:b38>,b38,정말.. 만져 봐도 되는 건가요?,e_nopan,"이 대사 이후 레이나 퇴장, 화면 전환, 「핸드잡」 씬 시작",reina
<!MissingKey:15:c6c>,c6c,그러니 제 자궁 안에.. 당신의 정액 가득 내 주세요..,e_panty,이 대사 이후 사정 장면으로 전환 (9초 무음 구간 후 대사 재개),reina
<!MissingKey:16:d1b>,d1b,"가슴도, 엉덩이도. 좀 더 가까이서 보여 드릴게요.",e_reina_swimsuit,이 대사 이후 화면 전환 + 씬 전환,reina
<!MissingKey:17:d0e>,d0e,잠시.. 뒤 돌아 주세요.,e_reina_swimsuit,이 대사 이후 레이나 퇴장 + 화면 전환,reina
<!MissingKey:18:1078>,1078,"..후훗, 농담이에요. 절반 정도는.",e_window,이 대사 이후 씬 종료,reina
<!MissingKey:19:98a>,98a,하지만 아무리 부탁해도 안 되니까요. 단념하시길.,e_dog_strap,"이 대사 이후 레이나 퇴장, 화면 전환 (코스튬 착용 장면)",reina
<!MissingKey:20:b4c>,b4c,그러니 사정하고 싶어지면.. 얼마든지 저에게 뿌려 주세요. 조금.. 무섭긴 하지만.,e_nopan,이 대사 이후 프리 액션 진입,reina
<!MissingKey:21:105e>,105e,다행히 유리창 너머엔 아무도 없으니까 부끄러운 게 덜 할 거 같아요.,e_window,"이 대사 이후 레이나 퇴장, 화면 전환, 「유리창 후배위」 씬 시작",reina
<!MissingKey:22:c89>,c89,읏! 아앙!,e_reina_fella,이 대사 이후 클라이맥스 전환 + 무음 구간,reina
<!MissingKey:23:ab7>,ab7,원하시는 대로..,e_green,"이 대사 이후 레이나 퇴장, 화면 전환, 「가슴 만지기」 씬 시작 (옷 위로 만지는 상태)",reina
<!MissingKey:24:b4d>,b4d,..아아.. 얼굴에 가득.. 진하고 끈적한 게..,e_nopan,(재개) 재개 첫 대사 (사정 후),reina
<!MissingKey:25:d80>,d80,아앙..앗..츄..츄웁.. 읏..,e_reverse_train,(재개) 재개 첫 대사,reina
<!MissingKey:26:c8b>,c8b,뷰릇 뷰릇..하고. 전부 느껴져요.. 하아..,e_reina_fella,이 대사 이후 화면 전환,reina
1325,ce2,어쨌든 저는 조금 더 둘러 볼게요.,e_reina_swimsuit,이 대사 이후 화면 전환,reina
<!MissingKey:28:a8e>,a8e,조금이라도 기분전환이 되신다면 다행이에요.,e_green,이 대사 이후 화면 전환,reina
<!MissingKey:29:1862>,1862,히얏..?!,e_reina_full_sitting,이 대사 이후 레이나 퇴장 + 화면 서서히 암전,reina
<!MissingKey:30:abb>,abb,저는 커봤자 무거워서 불편할 뿐이지만.. 남자들은 큰 걸 좋아하는군요.,e_green,이 대사 이후 보다 적극적인 가슴 만지기 상태로 전환,reina
<!MissingKey:31:ce5>,ce5,여긴 아무것도 없고..,e_reina_swimsuit,이 대사 이후 화면 전환,reina
<!MissingKey:32:106d>,106d,나도 모르게 젖어 버리는 게 아닐까.. 하는 걱정이 드네요.,e_window,이 대사 이후 화면 전환 (H씬에서 빠져나온 일반 대화로 전환),reina
<!MissingKey:33:1067>,1067,그대로 뒤에서.. 자지 넣어주세요..,e_window,이 대사 이후 프리 액션 진입,reina
<!MissingKey:34:7f8>,7f8,지금까지와는 다른.. 이상한.. 읏!?,e_bird,이 대사 이후 모유 분비 시작 (씬 전환),reina
<!MissingKey:35:ad9>,ad9,...가슴 만으로 이렇게나 오래..,e_green,(재개) 재개 첫 대사,reina
