key,jp,ko,vi
,,,
<!MissingKey:1:お気の毒に…でも、私でもそれはちょっと…>,お気の毒に…でも、私でもそれはちょっと…,안타깝네요.. 하지만 저라도 그건..,お気の毒に…でも、私でもそれはちょっと…
<!MissingKey:2:（今は、静かにしていた方が安全だ）>,（今は、静かにしていた方が安全だ）,(지금은 조용히 있어야 안전해),（今は、静かにしていた方が安全だ）
,,,
<!MissingKey:4:おおっ、ありがとう！>,おおっ、ありがとう！,오오 고마워!,おおっ、ありがとう！
<!MissingKey:5:パズズ？>,パズズ？,파주주?,パズズ？
,,,
<!MissingKey:7:そうだ！実は、この電車。かなり、不安定なんだ。停車できないのも、俺が、コントロールできる範囲外だからだし。>,そうだ！実は、この電車。かなり、不安定なんだ。停車できないのも、俺が、コントロールできる範囲外だからだし。,그래! 사실 이 전차. 상당히 불안정하거든. 정차하지 못하는 것도 내가 컨트롤 할수 있는 범위 밖이기 때문이고.,そうだ！実は、この電車。かなり、不安定なんだ。停車できないのも、俺が、コントロールできる範囲外だからだし。
<!MissingKey:8:やはり、お聞きになりましたよね？…>,やはり、お聞きになりましたよね？…,역시 들으셨군요?..,やはり、お聞きになりましたよね？…
<!MissingKey:9:>,,Seriouse,
<!MissingKey:10:このような行為は、互いに好いている相手でないと効果的ではないと伺いましたので…>,このような行為は、互いに好いている相手でないと効果的ではないと伺いましたので…,이런 행위는 서로가 좋아하는 상대여야 효과적이라고 들었으니까요..,このような行為は、互いに好いている相手でないと効果的ではないと伺いましたので…
<!MissingKey:11:本当ですか？ですが、今の事態を収拾するには、一刻も早く行かなければ…>,本当ですか？ですが、今の事態を収拾するには、一刻も早く行かなければ…,정말인가요? 하지만 지금 일을 수습하려면 한시 빨리 가야 되는게..,本当ですか？ですが、今の事態を収拾するには、一刻も早く行かなければ…
,,,
<!MissingKey:13:ですが、これ…何というか、本当に携帯電話ですか？めちゃくちゃですよ。>,ですが、これ…何というか、本当に携帯電話ですか？めちゃくちゃですよ。,그치만 이거.. 뭐랄까. 정말 핸드폰 맞나요? 완전 엉망이에요.,ですが、これ…何というか、本当に携帯電話ですか？めちゃくちゃですよ。
<!MissingKey:14:あたしのより、ひどいな。ちゃんと、動くの？>,あたしのより、ひどいな。ちゃんと、動くの？,내 것보다 심각한걸. 작동은 하는 거야?,あたしのより、ひどいな。ちゃんと、動くの？
<!MissingKey:15:最初は、ぎこちなく、不慣れでしたが、今まで、数えきれないほど、セックスして…今では、私の弱いところを、とても簡単に、見つけて、突いてきますから。>,最初は、ぎこちなく、不慣れでしたが、今まで、数えきれないほど、セックスして…今では、私の弱いところを、とても簡単に、見つけて、突いてきますから。,"처음에는 어색하고 서툴렀지만, 지금까지 수도 없이 섹스하면서.. 이제는 제 약한 곳을 너무 쉽게 찾아 찔러 오거든요.",最初は、ぎこちなく、不慣れでしたが、今まで、数えきれないほど、セックスして…今では、私の弱いところを、とても簡単に、見つけて、突いてきますから。
<!MissingKey:16:え…？つ、次…？…ごくり>,え…？つ、次…？…ごくり,뭐..? 다.. 다음..? ..꿀꺽,え…？つ、次…？…ごくり
