key,en,cn,jp,ko,zh,情緒,vi
SCENE_MAI_DOGGY_DOOR_AFTER_02,Hah... ugh... I feel like I'm about to collapse...,哈啊……呜呃……感觉随时会瘫下去……,はぁ…うぐ…今にもへたり込んじゃいそう…,하아.. 으긋.. 금방이라도 주저앉을 거 같아..,哈啊……嗚呃……感覺隨時會癱下去……,余韻,Hà... ư... em như sắp khuỵu xuống luôn rồi...
SCENE_MAI_COWGIRL_MARKING_PLAYING_01,Aah...! Hah! Too rough... seriously...!,啊啊……！哈呜！太激烈了啦……！,ああん…！はうっ！激しすぎ…だしぃ…！,아앙..! 하읏! 너무 거칠어..!,啊啊……！哈嗚！太激烈了啦……！,びっくり,A... hộc... anh mạnh bạo quá... thật đấy...!
SCENE_MAI_DOGGY_DOOR_AFTER_01,Hoo... it's dripping so much between my legs...,呼……一直从股间滴下来……,ふうっ…股の間から、めっちゃ垂れてくる…,흐읏.. 다리 사이로 무언가 흘러내려..,呼……一直從股間滴下來……,余韻,Phù... chảy hết ra kẽ đùi em rồi này...
SCENE_MAI_COWGIRL_MARKING_PLAYING_03,Aah...! Good...! More... go even harder...!,啊啊……！好爽……！再来……更激烈一点……！,ああんっ…！いぃ…！もっと…もっと激しくしてぇ…！,아앙! 좋아..! 더.. 더 격렬하게..!,啊啊……！好爽……！再來……更激烈一點……！,びっくり,A... sướng quá...! Nữa đi... mạnh hơn nữa đi anh...!
SCENE_MAI_COWGIRL_MARKING_PLAYING_02,Nn... kiss... don't stop kissing me... hah...!,嗯……啾……别停下接吻……哈啊……！,ん…ちゅっ…キス…止めないでよ…はぁっ…！,응.. 츄웁.. 키스.. 멈추지 마.. 아앗!,嗯……啾……別停下接吻……哈啊……！,びっくり+キス,Ưm... *chụt*... đừng ngừng hôn em mà... hah...!
SCENE_MAI_COWGIRL_MARKING_PLAYING_04,Slurp... nn... don't you dare pull your lips away...!,啾噜……嗯……不准把嘴唇离开喔……！,ちゅる…んぅ…唇離したら…ダメだからね…！,츄릅.. 으응.. 입술 떨어지면.. 안돼..!,啾嚕……嗯……不准把嘴唇離開喔……！,びっくり+キス,*Chùn chụt*... ưm... cấm anh buông môi ra đấy nhé...!
SCENE_BUTLER_AHEN_FELLATIO_3,Nnmm...,嗯唔……,んむ…,우물..,嗯唔……,フェラ,Ưm...
SCENE_BUTLER_AHEN_6,Ngh...,嗯呃……,んぐっ…,우웁..,嗯呃……,フェラ,Ực...
SCENE_BUTLER_AHEN_FELLATIO_1,Lick...,舔……,ぺろっ…,할짝..,舔……,舐める,Liếm...
SCENE_BUTLER_AHEN_FELLATIO_4,Gulp...,吞……,ごくん…,꿀꺽..,吞……,フェラ,Nuốt...
SCENE_KONIAL_AHEN_FELLATIO_1,Slurp...,啾噜……,じゅるっ…,후릅..,啾嚕……,フェラ,Mút...
SCENE_BUTLER_AHEN_FELLATIO_2,*Wet kiss*...,啾噗……,ちゅぷっ…,츄웁..,啾噗……,キス,*Chụt*...
SCENE_KONIAL_AHEN_KISS_5,Hah... kiss...,哈啊……啾……,はぁ…ちゅっ…,하아.. 쪽..,哈啊……啾……,キス,Hà... chụt...
SCENE_MAI_AHEN_KISS_1,Nn...,嗯……,んっ…,읍..,嗯……,キス,Ưm...
SCENE_KONIAL_AHEN_KISS_2,Sluuurp...,啾噜噜……,ちゅるるっ…,츄르릅..,啾嚕嚕……,キス,Chùn chụt...
SCENE_KONIAL_FULL_NELSON_CUM_01,W-wait... a-are you going to come? Inside...!,等、等一下……你、你要射吗？射在里面……！,ちょ…ちょっと…だ、出す気か？中に…！,자.. 잠깐.. 싸.. 싸려는 거야? 이 안에..엣!,等、等一下……你、你要射嗎？射在裡面……！,絶頂,K-khoan đã... n-ngươi định bắn sao? Ở bên trong...!
SCENE_MAI_ANAL_CAT_PLAYING_01,Naaah...! Hah...! Wh-what is this...! It's totally different from my pussy...!,嗯啊啊……！哈啊……！这、这是什么感觉……！跟小穴完全不一样……！,んあぁっ…！ はぁっ…！ な、なにこれぇ…！ まんこと…全然違うじゃん…！,아앙! 하읏! 뭐야.. 뭐야 이거..! 보지랑.. 완전 달라..!,嗯啊啊……！哈啊……！這、這是什麼感覺……！跟小穴完全不一樣……！,びっくり,Á... ha...! C-cái gì thế này...! Khác hẳn với phía trước luôn ấy...!
SCENE_BUTLER_AHEN_FELLATIO_5,Mmm...,啾……,ちゅ…,츄..,啾……,キス,Chụt...
SCENE_MAI_ANAL_CAT_PLAYING_03,It's embarrassing... way more embarrassing than usual...!,好害羞……比平常还要害羞多了……！,恥ずかしい…いつもより…ずっと恥ずかしいよぉ…っ！,부끄러워.. 평소보다.. 훨씬 부끄러웟..!,好害羞……比平常還要害羞多了……！,びっくり,Xấu hổ quá... xấu hổ hơn bình thường nhiều luôn ấy...!
SCENE_KONIAL_FULL_NELSON_CUM_02,Ah... haaahn...! ...All of it... all of it inside...! Ugh...!,啊……哈啊啊……！ ……全部……全部都射在里面……！呜呃……！,あ…はぁああん…っ…！…全部…全部…中にぃ…！うぐぅ…ッ！,아.. 아앙..! 전부.. 전부.. 안에..! 으응..!!,啊……哈啊啊……！……全部……全部都射在裡面……！嗚呃……！,絶頂,A... ưm... bắn hết... bắn hết vào trong đi...! Ư...!
SCENE_MAI_ANAL_CAT_PLAYING_02,Nnn...! You're hitting... some weird place deep inside... aahn!,嗯嗯……！里面……奇怪的地方……被顶到了……啊啊！,んんっ…！ 奥の…変なとこ…突かれてるぅ…ああんっ！,으응..! 안쪽.. 이상한 곳.. 찔러지고 있어.. 아앙!,嗯嗯……！裡面……奇怪的地方……被頂到了……啊啊！,びっくり,Ưm...! Anh đâm trúng... chỗ kỳ lạ nào ở sâu bên trong rồi... aahn!
SCENE_MAI_ANAL_CAT_PLAYING_04,Auh...! You're hitting somewhere... totally different from my pussy...!,啊呜……！被顶到的地方……跟小穴完全不一样……！,あうっ…！まんことは違うとこ…突かれてるぅ…！,아읏..! 보지와는 다른 곳 찌르고 있어..!,啊嗚……！被頂到的地方……跟小穴完全不一樣……！,びっくり,Á...! Anh đang đâm vào... chỗ khác hẳn phía trước rồi...!
SCENE_KONIAL_MISSIONARY_KISS_READY_01,K-kiss me... don't stop... hah... just like that...,亲、亲我……不要停……哈呜……就这样……,キ、キス…やめるな…はぅっ…そのまま…,키.. 키스.. 멈추지 마.. 하읏.. 그대로..,親、親我……不要停……哈嗚……就這樣……,ツンデレ,H-hôn ta đi... đừng dừng lại... hah... cứ thế đi...
SCENE_REINA_DOGGY_SWIMSUIT_AFTER_02,Nn... if we stay like this... I'm sure I'll get pregnant...,嗯呜……再这样下去的话，肯定会怀孕的……,んぅ…このままだと、きっと妊娠しちゃいます…,으응.. 이대로면 분명 임신할거에요..,嗯嗚……再這樣下去的話，肯定會懷孕的……,余韻+笑顔,Ưm... cứ thế này... chắc em sẽ có thai mất...
SCENE_REINA_DOGGY_SWIMSUIT_AFTER_03,Look... your semen is overflowing from me...,您看……精液从里面流出来了喔……,見てください…精液が、溢れてきてますよ…,보세요.. 정액이 넘쳐 흘러나오고 있어요..,您看……精液從裡面流出來了喔……,余韻+笑顔,Anh nhìn này... tinh dịch đang tràn hết ra ngoài em rồi...
