Type,EventID,Korean,Vietnamese,SourceFile,Line
mai,5a,"그거! 콘짱이었지? 맨 처음 탑승 기념품이라며 줬던 거.","Cái đó! Là Kon-chan đúng không? Thứ họ tặng làm quà lưu niệm lúc lên tàu ấy mà.",basetalk.dtl,53
mai,5b,"코니알이 작별 선물로 준 건.. 으음.. 잘 보니 처음 것과는 살짝 다른거 같아 보이기도..","Cái Konial cho làm quà tạm biệt ấy... ừm... nhìn kỹ thì có vẻ hơi khác cái đầu tiên nhỉ...",basetalk.dtl,55
mai,5c,"그렇담 이제야말로 완벽히 떠날 준비가 된 거지? 난 언제든 오케이니까!","Ừm nghĩa là giờ mình đã hoàn toàn sẵn sàng lên đường rồi hả? Tớ đi lúc nào cũng được!",basetalk.dtl,57
mai,5d,"드디어 집으로 돌아갈 수 있겠네!","Cuối cùng cũng về nhà được rồi!",basetalk.dtl,61
mai,5e,"..라고 평소라면 기뻐하겠지만. 정말 이대로 된 걸까?","...Tớ cũng muốn vui lắm đấy chứ... nhưng không biết thế này có ổn không nhỉ?",basetalk.dtl,63
mai,5f,"아까 코니알하고 뭔가 얘기하던데, 중요한 거야?","Lúc nãy cậu nói chuyện với Konial có chuyện gì quan trọng à?",basetalk.dtl,64
mai,60,"뭐, 선택은 너에게 맡길게!","Thôi, quyết định thế nào tuỳ cậu đấy!",basetalk.dtl,66
mai,61,"응? 무슨 일이야?","Hử? Sao thế?",basetalk.dtl,68
choice,63,"엣찌 하고싶어 | [if {npc.love} >= 1] [else=""hide""]","Muốn làm tình",basetalk.dtl,72
mai,64,"많이 쌓였구나? 좋아!","Đây là... nhịn lâu ngày hả? Hết cách với cậu thật đấy... được rồi!",basetalk.dtl,74
choice,65,"[if {GameEvents.is_new_read_event(1)} 대화(New)/대화] | [if {npc.love} >= 0]","[if {GameEvents.is_new_read_event(1)} Nói chuyện(New)/Nói chuyện]",basetalk.dtl,82
choice,66,"탐색 동행 | [if {npc.current_partner} != {npc.type}] [else=""hide""]","Thám hiểm cùng nhau",basetalk.dtl,85
mai,67,"<그래~ 도움이 될지 모르겠지만. 노력해볼게./응 좋아~ 출발하자./이번엔 더 멀리 갈 수 있겠지? 어서 가자!>","<Hì~ Không biết có giúp được gì không. Nhưng tớ sẽ cố gắng./Ừ ngon~ Đi thôi/Lần này đi xa hơn được nhỉ? Nhanh lên nào!>",basetalk.dtl,87
choice,68,"용건은 없다.","Không có việc gì.",basetalk.dtl,90
mai,e5,"귀여워! 이것도 이변인가? 여기 시작 지점 아니야?","Dễ thương quá! Cái này cũng là dị biến hả? Chỗ này là điểm bắt đầu mà?",chapter2_butler.dtl,8
choice,e6,"아마 이 새가 코니알이 말한..","Chắc con chim này là thứ Konial từng nói...",chapter2_butler.dtl,9
mai,e8,"그럼 이 새는 그 집사가 키우는 새? 주인은 안 보이는데..","Vậy con chim này là quản gia đó nuôi hả? Nhưng chẳng thấy chủ đâu nhỉ...",chapter2_butler.dtl,15
narration,e9,"...","...",chapter2_butler.dtl,17
narration,ea,"butler_bird_hidden (bird): '안녕하십니까. 여러분.'","Chào quý vị.",chapter2_butler.dtl,18
mai,eb,"새가 말을 하잖아! 들었어?","Chim biết nói kìa! Mọi người có nghe thấy không!?",chapter2_butler.dtl,20
mai,ed,"뭐야, 나만 놀란 거야? 말하는 새잖아! 이변으로 말을 할 수 있게 된 건가?","Hả? Sao mọi người không ngạc nhiên gì thế? Chim biết nói đấy! Hay là do dị biến nên nói được?",chapter2_butler.dtl,28
choice,ee,"전차에서 워낙 특이한 것들을 많이 봐서..","Chắc tại trên tàu thấy lạ quá nhiều nên tê liệt cảm giác rồi...",chapter2_butler.dtl,29
mai,f0,"듣고 보니 그러네..","Nghe cũng phải ha... chắc vậy... chắc vậy thật.",chapter2_butler.dtl,36
mai,f7,"...  역시 대화는 안 되나봐!","...Đúng là không nói chuyện được nhỉ!",chapter2_butler.dtl,48
mai,f9,"우와앗! 대답했어!","Á! Nó trả lời kìa!",chapter2_butler.dtl,51
mai,ff,"잘 부탁해 집사!","Nhờ cậu nhé, quản gia!",chapter2_butler.dtl,63
choice,100,"코니알에게 듣기론 교환 샵을 열어 준다고..","Nghe Konial nói cậu sẽ mở tiệm để đổi vé...",chapter2_butler.dtl,64
mai,102,"취미라고?","Sở thích?",chapter2_butler.dtl,67
mai,109,"내 동생도 필요 없어진 물건을 버리지 못해. 언젠가는 쓸 일이 있을거라나? 결국엔 내가 다 가져다 버리지만!","Em trai tôi cũng vậy, không vứt được đồ cũ. Bảo 'biết đâu mai mốt dùng' ấy. Cuối cùng toàn tớ xử đống đó!",chapter2_butler.dtl,78
mai,111,"하지만 말 그대로 잡동사니잖아.. 그다지 교환하고 싶지 않아..","Nhưng đúng nghĩa là đồ bỏ đi mà...? Tớ chẳng muốn đổi tí nào...",chapter2_butler.dtl,91
mai,116,"어차피 폐기해야 하는 물품이면 헐값에 넘겨도 되잖아.","Dù gì cũng định vứt mà? Đưa hết cho tụi tớ đi cũng được mà. Vé vẫn đem nộp đủ mà.",chapter2_butler.dtl,97
