key,en,jp,ko,zh,cn
,,,,,
"<!MissingKey:1:That's unfortunate... Though I must admit, even I would probably...>","That's unfortunate... Though I must admit, even I would probably...",それは気の毒ですね…でも、私たちでもそれは…,안타깝네요.. 하지만 저라도 그건..,真是令人同情呢……不過換作是我可能也會……,真是令人同情呢……不过换作是我可能也会……
<!MissingKey:2:Show me that blissed-out face lots more from now on.>,Show me that blissed-out face lots more from now on.,これからもいっぱい気持ちいい顔、見せてね。,앞으로도 잔뜩 기분 좋은 얼굴 보여줘.,以後也多讓我看看你舒服的表情吧。,以后也多让我看看你舒服的表情吧。
<!MissingKey:3:(I need to stay quiet right now. That's the safest bet.)>,(I need to stay quiet right now. That's the safest bet.),(今は静かにしてた方が安全だ。),(지금은 조용히 있어야 안전해),（現在保持安靜比較安全）,（现在保持安静比较安全）
,,,,,
"<!MissingKey:5:Ooh, thanks!>","Ooh, thanks!",おお、ありがとー！,오오 고마워!,哦哦～謝啦！,哦哦～谢啦！
<!MissingKey:6:Pazuzu?>,Pazuzu?,パズズ？,파주주?,帕祖祖？,帕祖祖？
,,,,,
"<!MissingKey:8:That's right! You see, this train is quite unstable. The fact that it can't stop is beyond even my control.>","That's right! You see, this train is quite unstable. The fact that it can't stop is beyond even my control.",そう！実はこの電車、かなり存在が不安定でな。停車できないのも、我の制御の範囲外だからなのだよ。,그래! 사실 이 전차. 상당히 불안정하거든. 정차하지 못하는 것도 내가 컨트롤 할수 있는 범위 밖이기 때문이고.,沒錯！其實這班電車相當不穩定，沒辦法停車也是因為超出了我能控制的範圍。,没错！其实这班电车相当不稳定，没办法停车也是因为超出了我能控制的范围。
"<!MissingKey:9:You heard it after all, didn't you...?>","You heard it after all, didn't you...?",やっぱり聞こえてたんですね…？,역시 들으셨군요?..,果然聽到了吧……？,果然听到了吧……？
<!MissingKey:10:>,,,Seriouse,,
<!MissingKey:11:I've heard such acts are most effective between those who share mutual affection...>,I've heard such acts are most effective between those who share mutual affection...,こうした行為は、お互いに想い合う相手同士でなければ、効果がないと聞いておりますので…,이런 행위는 서로가 좋아하는 상대여야 효과적이라고 들었으니까요..,聽說這種行為要雙方都喜歡對方才會有效……,听说这种行为要双方都喜欢对方才会有效……
"<!MissingKey:12:Really? But given the situation, shouldn't we hurry as fast as possible...?>","Really? But given the situation, shouldn't we hurry as fast as possible...?",本当ですか？でも今の事態を収拾するには、一刻も早く行かないと…,정말인가요? 하지만 지금 일을 수습하려면 한시 빨리 가야 되는게..,真的嗎？可是現在要處理這件事，應該要越快越好才對……,真的吗？可是现在要处理这件事，应该要越快越好才对……
,,,,,
<!MissingKey:14:But this... how should I put it. Is this really a cell phone? It's completely wrecked.>,But this... how should I put it. Is this really a cell phone? It's completely wrecked.,でもこれ…なんというか、本当にあなたのスマホですか？ボロボロですけど…,그치만 이거.. 뭐랄까. 정말 핸드폰 맞나요? 완전 엉망이에요.,可是這個……該怎麼說呢，這真的是手機嗎……？已經變得破破爛爛的了……,可是这个……该怎么说呢，这真的是手机吗……？已经变得破破烂烂的了……
<!MissingKey:15:It's worse than mine. Does it even work?>,It's worse than mine. Does it even work?,あたしのよりヤバいじゃん。こんなん使ってたん？てか、動くの？これ？,내 것보다 심각한걸. 작동은 하는 거야?,比我的還慘呢。還能用嗎？,比我的还惨呢。还能用吗？
"<!MissingKey:16:He was awkward and clumsy at first, but after having sex countless times... Now he finds my weak spots so easily and hits them perfectly.>","He was awkward and clumsy at first, but after having sex countless times... Now he finds my weak spots so easily and hits them perfectly.",最初はぎこちなくて不慣れでしたけど、今まで何度もセックスを重ねて……今では私の弱いところを、完全に把握して…完璧に突いてくるんです。,"처음에는 어색하고 서툴렀지만, 지금까지 수도 없이 섹스하면서.. 이제는 제 약한 곳을 너무 쉽게 찾아 찔러 오거든요.",一開始雖然生澀笨拙，但做了這麼多次之後……現在他已經能輕而易舉地找到我的敏感點然後頂進來了。,一开始虽然生涩笨拙，但做了这么多次之后……现在他已经能轻而易举地找到我的敏感点然后顶进来了。
<!MissingKey:17:Wha...? N-next...? ...Gulp>,Wha...? N-next...? ...Gulp,な…？ つ、次…だと？ …ごくり,뭐..? 다.. 다음..? ..꿀꺽,什……？下、下一步……？……咕。,什……？下、下一步……？ ……咕。
"<!MissingKey:18:The moment I handed Kon Omega over to you, I became nothing more than a feeble creature... neither Demon nor anything else.>","The moment I handed Kon Omega over to you, I became nothing more than a feeble creature... neither Demon nor anything else.",コンちゃんオメガをお前たちに渡した瞬間から、我は悪魔でも何でもない…ただの脆弱な存在になるからだ。,콘짱 오메가를 너희에게 건낸 순간부터 나는 악마도 뭣도 아닌 나약한 존재일 뿐이니까.,從我把小柯Omega交給你們的那一刻起，我就只是個既非惡魔、也什麼都不是的脆弱存在。,从我把小柯Omega交给你们的那一刻起，我就只是个既非恶魔、也什么都不是的脆弱存在。
<!MissingKey:19:...You two know each other?>,...You two know each other?,…知り合いなん？,..아는 사이?,……妳們認識？,……妳们认识？
<!MissingKey:20:You're so cute.>,You're so cute.,すごく可愛いよ。,너무 귀여워.,太可愛了。,太可爱了。
"<!MissingKey:21:My nipples are touching it, they're getting hard... Haa...>","My nipples are touching it, they're getting hard... Haa...",乳首が当たって…カチカチになっちゃった…はぁん…,유두가 닿아서 단단해졌어.. 하읏~,乳頭碰到地板都變硬了……哈啊～,乳头碰到地板都变硬了……哈啊～
<!MissingKey:22:Let's keep moving forward for now.>,Let's keep moving forward for now.,とりあえずもっと先に進んでみよう。,일단 앞으로 더 가보자.,先繼續往前走吧。,先继续往前走吧。
<!MissingKey:23:...Hm? There's something up ahead. Let's go check it out.>,...Hm? There's something up ahead. Let's go check it out.,…ん？あの先に何かありますね。確認してみましょう。,..응? 저 앞에 무언가 있어요. 확인해 보죠.,……嗯？前面好像有什麼東西。去確認一下吧。,……嗯？前面好像有什么东西。去确认一下吧。
,,,,,
<!MissingKey:25:I-I do not know about such things... It just feels terribly ticklish...>,I-I do not know about such things... It just feels terribly ticklish...,そ…そんなの分かりません…なんというか…すごくくすぐったいのです…,그.. 그런거 몰라요.. 무척이나 간질거립니다..,那、那種事鄙人不知道……只是非常癢……,那、那种事鄙人不知道……只是非常痒……
"<!MissingKey:26:Actually... I don't really mind that stuff either. The naughty stuff, I mean. Heheh!>","Actually... I don't really mind that stuff either. The naughty stuff, I mean. Heheh!",実はあたしもさぁ…そんなに嫌いじゃないんだよねー、エロいこと、えへへっ,실은 나도.. 그렇게 싫어하지 않아. 야한 거. 헤헷.,其實我也……不討厭那種事啦……色色的那種，嘿嘿。,其实我也……不讨厌那种事啦……色色的那种，嘿嘿。
<!MissingKey:27:Did Konial really keep her promise? But where on earth did those two go...?>,Did Konial really keep her promise? But where on earth did those two go...?,コニアルさんが…本当に約束を守ったんでしょうか…？でも、あの二人は一体どこへ…,코니알이 정말 약속을 지킨 건가요? 그치만 저 둘은 대체 어디로..,柯尼亞爾真的遵守約定了嗎？可是那兩個人到底去哪裡了……,柯尼亚尔真的遵守约定了吗？可是那两个人到底去哪里了……
,,,,,
,,,,,
"<!MissingKey:30:Reina may have let me grope her breasts, but getting her back drenched in cum is a different matter entirely.>","Reina may have let me grope her breasts, but getting her back drenched in cum is a different matter entirely.",おっぱいを揉むことを許してくれた怜奈だけど、彼女の背中を精液まみれにするわけにはいかない。,"젖을 주무르게 허락해준 레이나지만, 그녀의 등에 한가득 정액 범벅이 되는 건 다른 얘기이다.",雖然怜奈允許我揉她的奶子，但把她的背弄得滿是精液又是另一回事。,虽然怜奈允许我揉她的奶子，但把她的背弄得满是精液又是另一回事。
<!MissingKey:31:Hang on a sec!>,Hang on a sec!,お、落ち着いて！,잠깐만 기다려!,等一下！,等一下！
,,,,,
<!MissingKey:33:...Are you certain about it?>,...Are you certain about it?,…本当に確実…なんですよね…？,.. 정말 확실한 거.. 맞는 거죠?,……真的確定有效……對吧？,……真的确定有效……对吧？
"<!MissingKey:34:This is a rare opportunity, so don't mind me.>","This is a rare opportunity, so don't mind me.",折角くつろげてるんだからさ、僕のことは気にしないでさ。,모처럼이니까 난 걱정하지 말고.,難得有這機會，不用擔心我。,难得有这机会，不用担心我。
<!MissingKey:35:A considerable amount of Lust gathered here and then dispersed. Right where you're standing.>,A considerable amount of Lust gathered here and then dispersed. Right where you're standing.,相当な量の情念がここに集まり、そして消えた。お前が立っている、まさにその場所でだ。,상당한 양의 정념들이 이곳에 모였다 흩어졌어. 니가 서 있는 그 자리에서.,相當大量的情念曾在這裡聚集又散去，就在你站著的那個位置。,相当大量的情念曾在这里聚集又散去，就在你站着的那个位置。
"<!MissingKey:36:If you do it like this, my breasts feel even better... Nice and gentle, like tracing big circles...>","If you do it like this, my breasts feel even better... Nice and gentle, like tracing big circles...",こうすると…もっとおっぱい気持ちいいよ、優しく…大きな円を描くみたいに…,"이렇게 하면 가슴이 좀 더 기분 좋다고, 부드럽게 큰 원을 그리듯..",這樣摸胸部會更舒服喔，輕輕地畫大圈那樣……,这样摸胸部会更舒服喔，轻轻地画大圈那样……
,,,,,
